player_key,data_group,data_status
1,Neither,Insufficient performance data
2,Neither,Insufficient performance data
3,Understat only,Performance data available
4,Understat only,Performance data available
5,Understat only,Performance data available
6,Neither,Insufficient performance data
7,Understat only,Performance data available
8,Understat only,Performance data available
9,Both,Performance data available
10,Neither,Insufficient performance data
11,Neither,Insufficient performance data
12,Both,Performance data available
13,Understat only,Performance data available
14,Neither,Insufficient performance data
15,Neither,Insufficient performance data
16,Neither,Insufficient performance data
17,Neither,Insufficient performance data
18,Both,Performance data available
19,Understat only,Performance data available
20,Both,Performance data available
21,Both,Performance data available
22,Both,Performance data available
23,Understat only,Performance data available
24,Both,Performance data available
25,Understat only,Performance data available
26,Neither,Insufficient performance data
27,Understat only,Performance data available
28,Neither,Insufficient performance data
29,Both,Performance data available
30,Understat only,Performance data available
31,Both,Performance data available
32,Neither,Insufficient performance data
33,Neither,Insufficient performance data
34,Understat only,Performance data available
35,Neither,Insufficient performance data
36,Understat only,Performance data available
37,Both,Performance data available
38,Both,Performance data available
39,Neither,Insufficient performance data
40,Neither,Insufficient performance data
41,Neither,Insufficient performance data
42,Understat only,Performance data available
43,Neither,Insufficient performance data
44,Neither,Insufficient performance data
45,Both,Performance data available
46,FotMob only,Performance data available
47,FotMob only,Performance data available
48,Neither,Insufficient performance data
49,Neither,Insufficient performance data
50,Neither,Insufficient performance data
