player_key,player_name,league,club_2025_26,date_of_birth,age_2026_07_01,position,foot,contract_expires,current_club,current_market_value
1,Justin Diehl,Bundesliga,VfB Stuttgart,2004-11-27,21,Attack - Left Winger,right,2029-06-30,vfb stuttgart,
2,Julien Duranville,Bundesliga,Borussia Dortmund,2006-05-05,20,Attack - Left Winger,right,2031-06-30,olympique lyon,
3,Mathis Albert,Bundesliga,Borussia Dortmund,2009-05-21,17,Attack - Left Winger,right,2027-06-30,borussia dortmund,
4,Wisdom Mike,Bundesliga,Bayern Munich,2008-09-24,17,Attack - Left Winger,right,2029-06-30,club brugge kv,
5,Maycon Cardozo,Bundesliga,Bayern Munich,2008-10-10,17,Attack - Left Winger,right,2028-06-30,fc bayern munich ii,
6,Eliesse Ben Seghir,Bundesliga,Bayer 04 Leverkusen,2005-02-16,21,Attack - Left Winger,right,2030-06-30,bayer 04 leverkusen,
7,Alexander Røssing-Lelesiit,Bundesliga,Hamburger SV,2007-01-20,19,Attack - Left Winger,right,2030-06-30,hamburger sv,
8,Fábio Baldé,Bundesliga,Hamburger SV,2005-07-20,20,Attack - Left Winger,right,2031-06-30,rc strasbourg alsace,
9,Antonio Nusa,Bundesliga,RB Leipzig,2005-04-17,21,Attack - Left Winger,right,2029-06-30,rb leipzig,
10,Dele Thomas,Bundesliga,RB Leipzig,2007-07-23,18,Attack - Left Winger,right,2030-06-30,nec nijmegen,
11,Suleman Sani,Bundesliga,RB Leipzig,2006-09-01,19,Attack - Left Winger,right,2031-06-30,rb leipzig,
12,Tidiam Gomis,Bundesliga,RB Leipzig,2006-08-08,19,Attack - Left Winger,right,2029-06-30,rb leipzig,
13,Bazoumana Touré,Bundesliga,TSG 1899 Hoffenheim,2006-03-02,20,Attack - Left Winger,left,2031-06-30,newcastle united,
14,Deniz Zeitler,Bundesliga,TSG 1899 Hoffenheim,2006-12-13,19,Attack - Left Winger,both,2027-06-30,sc paderborn 07,
15,Jean-Mattéo Bahoya,Bundesliga,Eintracht Frankfurt,2005-05-07,21,Attack - Left Winger,right,2027-06-30,leeds united,
16,Trevor Benedict,Bundesliga,VfL Wolfsburg,2007-04-04,19,Attack - Left Winger,No Info,,vfl wolfsburg,
17,Bruno Katz,Bundesliga,VfL Wolfsburg,2008-05-14,18,Attack - Left Winger,No Info,2029-06-30,vfl wolfsburg,
18,Livan Burcu,Bundesliga,1.FC Union Berlin,2004-09-28,21,Attack - Left Winger,right,,1 fc union berlin,
19,Linus Güther,Bundesliga,1.FC Union Berlin,2010-04-08,16,Attack - Left Winger,right,2028-06-30,1 fc union berlin,
20,Said El Mala,Bundesliga,1.FC Köln,2006-08-26,19,Attack - Left Winger,both,2031-06-30,1 fc koln,
21,Hugo Bolin,Bundesliga,Borussia Mönchengladbach,2003-07-24,22,Attack - Left Winger,right,2030-06-30,borussia monchengladbach,
22,Samuel Mbangula,Bundesliga,SV Werder Bremen,2004-01-16,22,Attack - Left Winger,right,2027-06-30,bologna fc 1909,
23,Yannik Wagner,Bundesliga,1.FC Heidenheim 1846,2007-05-09,19,Attack - Left Winger,left,2029-06-30,1 fc heidenheim 1846,
24,Arijon Ibrahimovic,Bundesliga,1.FC Heidenheim 1846,2005-12-11,20,Attack - Left Winger,right,2027-06-30,fc augsburg,
25,Ismaël Gharbi,Bundesliga,FC Augsburg,2004-04-10,22,Attack - Left Winger,right,2027-06-30,cd leganes,
26,Kyliane Dong,Bundesliga,FC Augsburg,2004-09-27,21,Attack - Left Winger,right,2027-06-30,bolton wanderers,
27,Aiman Dardari,Bundesliga,FC Augsburg,2005-03-21,21,Attack - Left Winger,both,2027-06-30,rot weiss essen,
28, Elijah Gift,LaLiga,Athletic Bilbao,2006-06-11,20,Attack - Left Winger,left,2027-06-30,sd eibar,
29,Joel Roca,LaLiga,Girona FC,2005-06-07,21,Attack - Left Winger,right,2029-06-30,olympiacos piraeus,
30,Juan Arango,LaLiga,Girona FC,2006-06-27,20,Attack - Left Winger,right,2028-06-30,girona fc b,
31,Williot Swedberg,LaLiga,Celta de Vigo,2004-02-01,22,Attack - Left Winger,right,2029-06-30,celta de vigo,
32,Hugo Álvarez,LaLiga,Celta de Vigo,2003-07-02,22,Attack - Left Winger,right,2028-06-30,celta de vigo,
33,Ángel Arcos,LaLiga,Celta de Vigo,2006-04-18,20,Attack - Left Winger,No Info,2027-06-30,rc celta fortuna,
34, Wesley,LaLiga,Real Sociedad,2005-03-05,21,Attack - Left Winger,right,2027-06-30,cruzeiro esporte clube,
