player_key,fotmob_goals,fotmob_assists,goals_and_assists,fotmob_rating,fotmob_minutes,goals_per_90,fotmob_xG,xG_per_90,xGOT,shots_on_target_per_90,shots_per_90,accurate_passes_per_90,big_chances_created,chances_created,accurate_long_balls_per_90,fotmob_xA,xA_per_90,xG_and_xA_per_90,successful_dribbles_per_90,big_chances_missed,defensive_actions_per_90,recoveries_per_90,possession_won_final_3rd_per_90
9,4.0,3.0,7.0,7.16,2035.0,0.18,4.4,0.19,3.0,0.9,2.7,20.7,9.0,33.0,0.8,5.2,0.23,0.42,3.0,3.0,1.9,4.3,0.4
12,1.0,,1.0,,337.0,0.27,0.5,0.13,1.0,0.8,2.4,23.8,1.0,2.0,0.5,0.5,0.14,0.27,2.7,,1.3,2.7,
18,1.0,1.0,2.0,,645.0,0.14,1.6,0.23,1.2,0.4,2.2,23.2,,9.0,1.0,1.1,0.16,0.38,2.1,3.0,3.2,5.0,0.3
20,13.0,4.0,17.0,6.93,1957.0,0.6,11.2,0.52,11.6,1.4,3.4,11.6,8.0,21.0,0.2,2.3,0.11,0.62,2.0,17.0,1.7,2.9,1.0
21,1.0,1.0,2.0,,547.0,,0.8,,1.2,,,,,8.0,,0.5,,,,,,,
22,3.0,2.0,5.0,6.8,1170.0,0.23,1.7,0.13,2.4,0.6,1.3,32.2,2.0,14.0,0.7,1.8,0.14,0.27,2.3,2.0,1.8,4.8,0.4
24,2.0,4.0,6.0,6.91,2181.0,0.08,6.3,0.26,5.8,0.8,1.9,24.2,11.0,56.0,1.7,6.3,0.26,0.52,0.9,7.0,3.4,5.3,0.5
29,3.0,1.0,4.0,6.54,1469.0,0.18,3.7,0.23,3.6,1.0,2.9,19.5,2.0,16.0,0.3,2.1,0.13,0.35,2.3,5.0,2.5,3.9,0.3
31,5.0,5.0,10.0,6.62,1268.0,0.35,4.3,0.3,4.9,0.9,1.6,16.2,4.0,10.0,0.3,1.3,0.09,0.4,0.7,4.0,2.9,2.2,0.5
37,2.0,3.0,5.0,6.87,1409.0,0.13,1.3,0.08,1.7,0.5,1.1,21.3,3.0,21.0,1.1,1.4,0.09,0.17,1.1,1.0,3.4,3.4,0.3
38,10.0,5.0,15.0,6.96,2490.0,0.36,5.8,0.21,6.8,0.7,1.7,23.3,9.0,37.0,0.6,3.7,0.14,0.34,1.2,6.0,2.1,4.0,0.5
45,2.0,4.0,6.0,6.59,1797.0,0.1,2.3,0.12,4.3,0.8,1.6,15.4,7.0,30.0,0.4,2.4,0.12,0.24,2.5,1.0,1.7,3.4,0.9
46,6.0,2.0,8.0,6.9,2668.0,0.2,5.9,0.2,7.5,1.0,2.7,17.0,2.0,27.0,0.2,3.2,0.11,0.31,2.5,9.0,1.7,3.2,0.7
47,3.0,,3.0,6.34,1709.0,0.16,2.1,0.11,3.0,0.5,1.4,10.0,,4.0,0.1,0.3,0.02,0.13,0.8,2.0,2.2,2.8,0.6
