transfermarkt_id,valuation_date,market_value_in_eur,current_club_name,current_club_id,player_club_domestic_competition_id,player_key
982863,2023-10-27,600000,ESTAC Troyes,167,L1,26
1184137,2024-06-24,50000,Getafe CF U19,28866,,48
1084539,2025-12-19,5000000,FC Bayern Munich U19,1462,,4
946269,2025-12-30,150000,RCD Espanyol B,10773,,43
1201530,2025-12-30,800000,Real Sociedad B,9899,,35
1000630,2025-12-30,300000,CD Mirandés,13222,,41
962145,2025-12-30,800000,Real Sociedad B,9899,,36
1025582,2025-12-30,50000,Girona FC B,38006,,30
1378338,2026-04-13,1000000,1.FC Union Berlin U19,7802,,19
667251,2026-05-27,6000000,Borussia Mönchengladbach,18,L1,21
654991,2026-05-27,8000000,SV Werder Bremen,86,L1,22
519872,2026-05-27,4000000,1.FC Union Berlin,89,L1,18
744728,2026-05-27,10000000,1.FC Heidenheim 1846,2036,L1,24
1067904,2026-05-27,40000000,TSG 1899 Hoffenheim,533,L1,13
1168219,2026-05-27,45000000,1.FC Köln,3,L1,20
1213681,2026-05-27,5000000,Hamburger SV,41,L1,7
1235583,2026-05-27,5000000,RB Leipzig,23826,L1,11
1153628,2026-05-27,800000,1.FC Heidenheim 1846,2036,L1,23
955448,2026-05-27,5000000,RB Leipzig,23826,L1,12
810096,2026-05-27,5000000,FC Augsburg,167,L1,25
810895,2026-05-27,20000000,Bayer 04 Leverkusen,15,L1,6
763948,2026-05-27,1000000,RB Leipzig,23826,L1,10
939964,2026-05-27,25000000,Eintracht Frankfurt,24,L1,15
910541,2026-05-27,5000000,Hamburger SV,41,L1,8
894914,2026-05-27,32000000,RB Leipzig,23826,L1,9
720162,2026-05-29,1200000,VfB Stuttgart,79,L1,1
1108022,2026-05-29,4000000,TSG 1899 Hoffenheim,533,L1,14
904723,2026-06-01,800000,SpVgg Greuther Fürth,65,L1,27
819215,2026-06-02,6000000,FC Basel 1893,26,C1,2
733576,2026-06-05,50000000,Villarreal CF,1050,ES1,38
764859,2026-06-05,20000000,Celta de Vigo,940,ES1,31
1061122,2026-06-05,3000000,Getafe CF,3709,ES1,47
1007378,2026-06-05,4000000,Real Sociedad,681,ES1,34
1032280,2026-06-05,10000000,Sevilla FC,368,ES1,37
1301775,2026-06-05,15000000,RCD Mallorca,237,ES1,45
1127730,2026-06-05,4500000,Real Oviedo,2497,ES1,49
1232057,2026-06-05,1500000,Levante UD,3368,ES1,50
892929,2026-06-05,8000000,Celta de Vigo,940,ES1,32
895326,2026-06-05,6000000,Girona FC,12321,ES1,29
935231,2026-06-05,30000000,CA Osasuna,331,ES1,46
