player_key,transfermarkt_id,understat_id,fotmob_id
1,justin-diehl,,
2,julien-duranville,,
3,mathis-albert,14422,
4,wisdom-mike,13421,
5,maycon-cardozo,14505,
6,eliesse-ben-seghir,,
7,alexander-rossing-lelesiit,13926,
8,fabio-balde,14036,
9,antonio-nusa,12941,1248482
10,dele-thomas,,
11,suleman-sani,,
12,tidiam-gomis,13442,1482733
13,bazoumana-toure,13427,
14,deniz-zeitler,,
15,jean-matteo-bahoya,,
16,trevor-benedict,,
17,bruno-katz,,
18,livan-burcu,14177,1520506
19,linus-guther,14567,
20,said-el-mala,13911,1613676
21,hugo-bolin,14428,1351569
22,samuel-mbangula,12904,1402900
23,yannik-wagner,13863,
24,arijon-ibrahimovic,10248,1327150
25,ismael-gharbi,9766,
26,kyliane-dong,,
27,aiman-dardari,13981,
28,elijah-gift,,
29,joel-roca,10952,1326043
30,juan-arango,14227,
31,williot-swedberg,10870,1272740
32,hugo-alvarez,,
33,angel-arcos,,
34,wesley,14413,
35,alex-marchal,,
36,arkaitz-mariezkurrena,13267,
37,osotm,13615,1575945
38,alberto-moleiro,12160,1184694
39,joselillo-gaitan,,
40,mahamoud-barry,,
41,pablo-lopez,,
42,lluc-castell,14588,
43,alex-almansa,,
44,izei-hernandez,,
45,jan-virgili,13991,1690093
46,victor-munoz,,1553105
47,adrian-liso,,1541825
48,yassin-tallal,,
49,thiago-fernandez,,
50,paco-cortes,,
